ข้อที่,หมวด,ด้าน,ชื่อตัวชี้วัด (ไทย),หน่วยงานรับผิดชอบ,สถานะ,คะแนน (1-5),ลิงก์หลักฐาน,หมายเหตุ,อัปเดตล่าสุด
74,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,มาตรฐานความยั่งยืน,"เทศบาลเมืองอุทัยธานี, ททท.สำนักงานอุทัยธานี, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
75,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การประชาสัมพันธ์ให้สถานประกอบการที่ได้รับการรับรองมาตรฐาน,"เทศบาลเมืองอุทัยธานี, สำนักงานประชาสัมพันธ์จังหวัด, สำนักงานพาณิชจังหวัด",ยังไม่เริ่ม,,,,
76,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การใช้น้ำ (ผู้ประกอบการ),"เทศบาลเมืองอุทัยธานี, การประปาส่วนภูมิภาคสาขาอุทัยธานี, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
77,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การจัดการขยะ (ผู้ประกอบการ),"เทศบาลเมืองอุทัยธานี, สำนักงานส่งเสริมการปกครองท้องถิ่นจังหวัด, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
78,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การใช้พลังงาน (ผู้ประกอบการ),"เทศบาลเมืองอุทัยธานี, สำนักงานพลังงานจังหวัด, ผู้ประกอบการ/สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
79,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การปลดปล่อยก๊าซเรือนกระจก (ผู้ประกอบการ),"สำนักงานสิ่งแวดล้อมและควบคุมมลพิษที่ 4, สำนักงานทรัพยากรธรรมชาติและสิ่งแวดล้อมจังหวัด, สำนักงานขนส่งจังหวัด",ยังไม่เริ่ม,,,,
80,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,การจ้างงานที่เท่าเทียมและเป็นธรรม (ผู้ประกอบการ),"เทศบาลเมืองอุทัยธานี, สำนักงานพาณิชย์จังหวัด, สำนักงานแรงงานจังหวัด, สำนักงานพัฒนาฝีมือแรงงานจังหวัด, สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัด",ยังไม่เริ่ม,,,,
81,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 1: การมีส่วนร่วมของภาคธุรกิจ,หลักปฏิบัติของผู้บริการกิจกรรมการท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี",ยังไม่เริ่ม,,,,
82,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 2: การให้ข้อมูลและการทำการตลาด,การส่งเสริมการขายที่ถูกต้องและให้ความเคารพ,"เทศบาลเมืองอุทัยธานี, สำนักงานการท่องเที่ยวและกีฬาจังหวัด, ททท.สำนักงานอุทัยธานี, สำนักงานวัฒนธรรมจังหวัด, สมาคมธุรกิจท่องเที่ยวจังหวัด",ยังไม่เริ่ม,,,,
83,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 2: การให้ข้อมูลและการทำการตลาด,การให้ข้อมูลด้านความยั่งยืนแก่นักท่องเที่ยว,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานการท่องเที่ยวและกีฬา, สำนักงานวัฒนธรรมจังหวัด, สำนักงานป้องกันและบรรเทาสาธารณภัย, สำนักงานสถิติจังหวัด, สำนักงานส่งเสริมการปกครองท้องถิ่น",ยังไม่เริ่ม,,,,
84,หมวด 6: การประกอบธุรกิจและการบริการ,ด้านที่ 2: การให้ข้อมูลและการทำการตลาด,ข้อมูลการสื่อความหมาย,"เทศบาลเมืองอุทัยธานี, สำนักงานจังหวัด, สำนักงานทรัพยากรธรรมชาติฯ, สำนักงานวัฒนธรรมจังหวัด, สำนักงานพระพุทธศาสนาจังหวัด",ยังไม่เริ่ม,,,,
